Run,Top_K,ANOVA_Features,DODA_Features,Common_Feature_Count,ANOVA_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
22,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
22,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
23,5,"mean concave points, mean concavity, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean concavity
23,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
23,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
23,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
24,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
24,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
24,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
24,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
25,5,"mean concave points, mean perimeter, worst concave points, worst perimeter, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst area,mean perimeter
25,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
25,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius",15,15,15,True,1.0,,
25,20,"area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concave points error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
