Top_K,Run_A,Run_B,Jaccard_Similarity
5,16,25,1.0
5,17,18,1.0
5,17,19,1.0
5,17,20,1.0
5,17,21,1.0
5,17,22,1.0
5,17,23,1.0
5,17,24,1.0
5,17,25,1.0
5,18,19,1.0
5,18,20,1.0
5,18,21,1.0
5,18,22,1.0
5,18,23,1.0
5,18,24,1.0
5,18,25,1.0
5,19,20,1.0
5,19,21,1.0
5,19,22,1.0
5,19,23,1.0
5,19,24,1.0
5,19,25,1.0
5,20,21,1.0
5,20,22,1.0
5,20,23,1.0
5,20,24,1.0
5,20,25,1.0
5,21,22,1.0
5,21,23,1.0
5,21,24,1.0
5,21,25,1.0
5,22,23,1.0
5,22,24,1.0
5,22,25,1.0
5,23,24,1.0
5,23,25,1.0
5,24,25,1.0
10,1,2,1.0
10,1,3,1.0
10,1,4,1.0
10,1,5,1.0
10,1,6,1.0
10,1,7,1.0
10,1,8,1.0
10,1,9,1.0
10,1,10,1.0
10,1,11,1.0
10,1,12,1.0
10,1,13,1.0
10,1,14,1.0
10,1,15,1.0
10,1,16,1.0
10,1,17,1.0
10,1,18,1.0
10,1,19,1.0
10,1,20,1.0
10,1,21,1.0
10,1,22,0.8181818181818182
10,1,23,1.0
10,1,24,1.0
10,1,25,1.0
10,2,3,1.0
10,2,4,1.0
10,2,5,1.0
10,2,6,1.0
10,2,7,1.0
10,2,8,1.0
10,2,9,1.0
10,2,10,1.0
10,2,11,1.0
10,2,12,1.0
10,2,13,1.0
10,2,14,1.0
10,2,15,1.0
10,2,16,1.0
10,2,17,1.0
10,2,18,1.0
10,2,19,1.0
10,2,20,1.0
10,2,21,1.0
10,2,22,0.8181818181818182
10,2,23,1.0
10,2,24,1.0
10,2,25,1.0
10,3,4,1.0
10,3,5,1.0
10,3,6,1.0
10,3,7,1.0
10,3,8,1.0
10,3,9,1.0
10,3,10,1.0
10,3,11,1.0
10,3,12,1.0
10,3,13,1.0
10,3,14,1.0
10,3,15,1.0
10,3,16,1.0
10,3,17,1.0
10,3,18,1.0
10,3,19,1.0
10,3,20,1.0
10,3,21,1.0
10,3,22,0.8181818181818182
10,3,23,1.0
10,3,24,1.0
10,3,25,1.0
10,4,5,1.0
10,4,6,1.0
10,4,7,1.0
10,4,8,1.0
10,4,9,1.0
10,4,10,1.0
10,4,11,1.0
10,4,12,1.0
10,4,13,1.0
10,4,14,1.0
10,4,15,1.0
10,4,16,1.0
10,4,17,1.0
10,4,18,1.0
10,4,19,1.0
10,4,20,1.0
10,4,21,1.0
10,4,22,0.8181818181818182
10,4,23,1.0
10,4,24,1.0
10,4,25,1.0
10,5,6,1.0
10,5,7,1.0
10,5,8,1.0
10,5,9,1.0
10,5,10,1.0
10,5,11,1.0
10,5,12,1.0
10,5,13,1.0
10,5,14,1.0
10,5,15,1.0
10,5,16,1.0
10,5,17,1.0
10,5,18,1.0
10,5,19,1.0
10,5,20,1.0
10,5,21,1.0
10,5,22,0.8181818181818182
10,5,23,1.0
10,5,24,1.0
10,5,25,1.0
10,6,7,1.0
10,6,8,1.0
10,6,9,1.0
10,6,10,1.0
10,6,11,1.0
10,6,12,1.0
10,6,13,1.0
10,6,14,1.0
10,6,15,1.0
10,6,16,1.0
10,6,17,1.0
10,6,18,1.0
10,6,19,1.0
10,6,20,1.0
10,6,21,1.0
10,6,22,0.8181818181818182
10,6,23,1.0
10,6,24,1.0
10,6,25,1.0
10,7,8,1.0
10,7,9,1.0
10,7,10,1.0
10,7,11,1.0
10,7,12,1.0
10,7,13,1.0
10,7,14,1.0
10,7,15,1.0
10,7,16,1.0
10,7,17,1.0
10,7,18,1.0
10,7,19,1.0
10,7,20,1.0
10,7,21,1.0
10,7,22,0.8181818181818182
10,7,23,1.0
10,7,24,1.0
10,7,25,1.0
10,8,9,1.0
10,8,10,1.0
10,8,11,1.0
10,8,12,1.0
10,8,13,1.0
10,8,14,1.0
10,8,15,1.0
10,8,16,1.0
10,8,17,1.0
10,8,18,1.0
10,8,19,1.0
10,8,20,1.0
10,8,21,1.0
10,8,22,0.8181818181818182
10,8,23,1.0
10,8,24,1.0
10,8,25,1.0
10,9,10,1.0
10,9,11,1.0
10,9,12,1.0
10,9,13,1.0
10,9,14,1.0
10,9,15,1.0
10,9,16,1.0
10,9,17,1.0
10,9,18,1.0
10,9,19,1.0
10,9,20,1.0
10,9,21,1.0
10,9,22,0.8181818181818182
10,9,23,1.0
10,9,24,1.0
10,9,25,1.0
10,10,11,1.0
10,10,12,1.0
10,10,13,1.0
10,10,14,1.0
10,10,15,1.0
10,10,16,1.0
10,10,17,1.0
10,10,18,1.0
10,10,19,1.0
10,10,20,1.0
10,10,21,1.0
10,10,22,0.8181818181818182
10,10,23,1.0
10,10,24,1.0
10,10,25,1.0
10,11,12,1.0
10,11,13,1.0
10,11,14,1.0
10,11,15,1.0
10,11,16,1.0
10,11,17,1.0
10,11,18,1.0
10,11,19,1.0
10,11,20,1.0
10,11,21,1.0
10,11,22,0.8181818181818182
10,11,23,1.0
10,11,24,1.0
10,11,25,1.0
10,12,13,1.0
10,12,14,1.0
10,12,15,1.0
10,12,16,1.0
10,12,17,1.0
10,12,18,1.0
10,12,19,1.0
10,12,20,1.0
10,12,21,1.0
10,12,22,0.8181818181818182
10,12,23,1.0
10,12,24,1.0
10,12,25,1.0
10,13,14,1.0
10,13,15,1.0
10,13,16,1.0
10,13,17,1.0
10,13,18,1.0
10,13,19,1.0
10,13,20,1.0
10,13,21,1.0
10,13,22,0.8181818181818182
10,13,23,1.0
10,13,24,1.0
10,13,25,1.0
10,14,15,1.0
10,14,16,1.0
10,14,17,1.0
10,14,18,1.0
10,14,19,1.0
10,14,20,1.0
10,14,21,1.0
10,14,22,0.8181818181818182
10,14,23,1.0
10,14,24,1.0
10,14,25,1.0
10,15,16,1.0
10,15,17,1.0
10,15,18,1.0
10,15,19,1.0
10,15,20,1.0
10,15,21,1.0
10,15,22,0.8181818181818182
10,15,23,1.0
10,15,24,1.0
10,15,25,1.0
10,16,17,1.0
10,16,18,1.0
10,16,19,1.0
10,16,20,1.0
10,16,21,1.0
10,16,22,0.8181818181818182
10,16,23,1.0
10,16,24,1.0
10,16,25,1.0
10,17,18,1.0
10,17,19,1.0
10,17,20,1.0
10,17,21,1.0
10,17,22,0.8181818181818182
10,17,23,1.0
10,17,24,1.0
10,17,25,1.0
10,18,19,1.0
10,18,20,1.0
10,18,21,1.0
10,18,22,0.8181818181818182
10,18,23,1.0
10,18,24,1.0
10,18,25,1.0
10,19,20,1.0
10,19,21,1.0
10,19,22,0.8181818181818182
10,19,23,1.0
10,19,24,1.0
10,19,25,1.0
10,20,21,1.0
10,20,22,0.8181818181818182
10,20,23,1.0
10,20,24,1.0
10,20,25,1.0
10,21,22,0.8181818181818182
10,21,23,1.0
10,21,24,1.0
10,21,25,1.0
10,22,23,0.8181818181818182
10,22,24,0.8181818181818182
10,22,25,0.8181818181818182
10,23,24,1.0
10,23,25,1.0
10,24,25,1.0
15,1,2,0.875
15,1,3,1.0
15,1,4,1.0
15,1,5,1.0
15,1,6,1.0
15,1,7,1.0
15,1,8,1.0
15,1,9,1.0
15,1,10,0.875
15,1,11,1.0
15,1,12,1.0
15,1,13,0.875
15,1,14,1.0
15,1,15,1.0
15,1,16,1.0
15,1,17,1.0
15,1,18,1.0
15,1,19,1.0
15,1,20,1.0
15,1,21,1.0
15,1,22,0.875
15,1,23,1.0
15,1,24,0.875
15,1,25,1.0
15,2,3,0.875
15,2,4,0.875
15,2,5,0.875
15,2,6,0.875
15,2,7,0.875
15,2,8,0.875
15,2,9,0.875
15,2,10,1.0
15,2,11,0.875
15,2,12,0.875
15,2,13,1.0
15,2,14,0.875
15,2,15,0.875
15,2,16,0.875
15,2,17,0.875
15,2,18,0.875
15,2,19,0.875
15,2,20,0.875
15,2,21,0.875
15,2,22,1.0
15,2,23,0.875
15,2,24,1.0
15,2,25,0.875
15,3,4,1.0
15,3,5,1.0
15,3,6,1.0
15,3,7,1.0
15,3,8,1.0
15,3,9,1.0
15,3,10,0.875
15,3,11,1.0
15,3,12,1.0
15,3,13,0.875
15,3,14,1.0
15,3,15,1.0
15,3,16,1.0
15,3,17,1.0
15,3,18,1.0
15,3,19,1.0
15,3,20,1.0
15,3,21,1.0
15,3,22,0.875
15,3,23,1.0
15,3,24,0.875
15,3,25,1.0
15,4,5,1.0
15,4,6,1.0
15,4,7,1.0
15,4,8,1.0
15,4,9,1.0
15,4,10,0.875
15,4,11,1.0
15,4,12,1.0
15,4,13,0.875
15,4,14,1.0
15,4,15,1.0
15,4,16,1.0
15,4,17,1.0
15,4,18,1.0
15,4,19,1.0
15,4,20,1.0
15,4,21,1.0
15,4,22,0.875
15,4,23,1.0
15,4,24,0.875
15,4,25,1.0
15,5,6,1.0
15,5,7,1.0
15,5,8,1.0
15,5,9,1.0
15,5,10,0.875
15,5,11,1.0
15,5,12,1.0
15,5,13,0.875
15,5,14,1.0
15,5,15,1.0
15,5,16,1.0
15,5,17,1.0
15,5,18,1.0
15,5,19,1.0
15,5,20,1.0
15,5,21,1.0
15,5,22,0.875
15,5,23,1.0
15,5,24,0.875
15,5,25,1.0
15,6,7,1.0
15,6,8,1.0
15,6,9,1.0
15,6,10,0.875
15,6,11,1.0
15,6,12,1.0
15,6,13,0.875
15,6,14,1.0
15,6,15,1.0
15,6,16,1.0
15,6,17,1.0
15,6,18,1.0
15,6,19,1.0
15,6,20,1.0
15,6,21,1.0
15,6,22,0.875
15,6,23,1.0
15,6,24,0.875
15,6,25,1.0
15,7,8,1.0
15,7,9,1.0
15,7,10,0.875
15,7,11,1.0
15,7,12,1.0
15,7,13,0.875
15,7,14,1.0
15,7,15,1.0
15,7,16,1.0
15,7,17,1.0
15,7,18,1.0
15,7,19,1.0
15,7,20,1.0
15,7,21,1.0
15,7,22,0.875
15,7,23,1.0
15,7,24,0.875
15,7,25,1.0
15,8,9,1.0
15,8,10,0.875
15,8,11,1.0
15,8,12,1.0
15,8,13,0.875
15,8,14,1.0
15,8,15,1.0
15,8,16,1.0
15,8,17,1.0
15,8,18,1.0
15,8,19,1.0
15,8,20,1.0
15,8,21,1.0
15,8,22,0.875
15,8,23,1.0
15,8,24,0.875
15,8,25,1.0
15,9,10,0.875
15,9,11,1.0
15,9,12,1.0
15,9,13,0.875
15,9,14,1.0
15,9,15,1.0
15,9,16,1.0
15,9,17,1.0
15,9,18,1.0
15,9,19,1.0
15,9,20,1.0
15,9,21,1.0
15,9,22,0.875
15,9,23,1.0
15,9,24,0.875
15,9,25,1.0
15,10,11,0.875
15,10,12,0.875
15,10,13,1.0
15,10,14,0.875
15,10,15,0.875
15,10,16,0.875
15,10,17,0.875
15,10,18,0.875
15,10,19,0.875
15,10,20,0.875
15,10,21,0.875
15,10,22,1.0
15,10,23,0.875
15,10,24,1.0
15,10,25,0.875
15,11,12,1.0
15,11,13,0.875
15,11,14,1.0
15,11,15,1.0
15,11,16,1.0
15,11,17,1.0
15,11,18,1.0
15,11,19,1.0
15,11,20,1.0
15,11,21,1.0
15,11,22,0.875
15,11,23,1.0
15,11,24,0.875
15,11,25,1.0
15,12,13,0.875
15,12,14,1.0
15,12,15,1.0
15,12,16,1.0
15,12,17,1.0
15,12,18,1.0
15,12,19,1.0
15,12,20,1.0
15,12,21,1.0
15,12,22,0.875
15,12,23,1.0
15,12,24,0.875
15,12,25,1.0
15,13,14,0.875
15,13,15,0.875
15,13,16,0.875
15,13,17,0.875
15,13,18,0.875
15,13,19,0.875
15,13,20,0.875
15,13,21,0.875
15,13,22,1.0
15,13,23,0.875
15,13,24,1.0
15,13,25,0.875
15,14,15,1.0
15,14,16,1.0
15,14,17,1.0
15,14,18,1.0
15,14,19,1.0
15,14,20,1.0
15,14,21,1.0
15,14,22,0.875
15,14,23,1.0
15,14,24,0.875
15,14,25,1.0
15,15,16,1.0
15,15,17,1.0
15,15,18,1.0
15,15,19,1.0
15,15,20,1.0
15,15,21,1.0
15,15,22,0.875
15,15,23,1.0
15,15,24,0.875
15,15,25,1.0
15,16,17,1.0
15,16,18,1.0
15,16,19,1.0
15,16,20,1.0
15,16,21,1.0
15,16,22,0.875
15,16,23,1.0
15,16,24,0.875
15,16,25,1.0
15,17,18,1.0
15,17,19,1.0
15,17,20,1.0
15,17,21,1.0
15,17,22,0.875
15,17,23,1.0
15,17,24,0.875
15,17,25,1.0
15,18,19,1.0
15,18,20,1.0
15,18,21,1.0
15,18,22,0.875
15,18,23,1.0
15,18,24,0.875
15,18,25,1.0
15,19,20,1.0
15,19,21,1.0
15,19,22,0.875
15,19,23,1.0
15,19,24,0.875
15,19,25,1.0
15,20,21,1.0
15,20,22,0.875
15,20,23,1.0
15,20,24,0.875
15,20,25,1.0
15,21,22,0.875
15,21,23,1.0
15,21,24,0.875
15,21,25,1.0
15,22,23,0.875
15,22,24,1.0
15,22,25,0.875
15,23,24,0.875
15,23,25,1.0
15,24,25,0.875
20,1,2,1.0
20,1,3,1.0
20,1,4,1.0
20,1,5,1.0
20,1,6,1.0
20,1,7,1.0
20,1,8,1.0
20,1,9,1.0
20,1,10,1.0
20,1,11,1.0
20,1,12,1.0
20,1,13,1.0
20,1,14,1.0
20,1,15,1.0
20,1,16,1.0
20,1,17,1.0
20,1,18,1.0
20,1,19,1.0
20,1,20,1.0
20,1,21,1.0
20,1,22,1.0
20,1,23,1.0
20,1,24,1.0
20,1,25,1.0
20,2,3,1.0
20,2,4,1.0
20,2,5,1.0
20,2,6,1.0
20,2,7,1.0
20,2,8,1.0
20,2,9,1.0
20,2,10,1.0
20,2,11,1.0
20,2,12,1.0
20,2,13,1.0
20,2,14,1.0
20,2,15,1.0
20,2,16,1.0
20,2,17,1.0
20,2,18,1.0
20,2,19,1.0
20,2,20,1.0
20,2,21,1.0
20,2,22,1.0
20,2,23,1.0
20,2,24,1.0
20,2,25,1.0
20,3,4,1.0
20,3,5,1.0
20,3,6,1.0
20,3,7,1.0
20,3,8,1.0
20,3,9,1.0
20,3,10,1.0
20,3,11,1.0
20,3,12,1.0
20,3,13,1.0
20,3,14,1.0
20,3,15,1.0
20,3,16,1.0
20,3,17,1.0
20,3,18,1.0
20,3,19,1.0
20,3,20,1.0
20,3,21,1.0
20,3,22,1.0
20,3,23,1.0
20,3,24,1.0
20,3,25,1.0
20,4,5,1.0
20,4,6,1.0
20,4,7,1.0
20,4,8,1.0
20,4,9,1.0
20,4,10,1.0
20,4,11,1.0
20,4,12,1.0
20,4,13,1.0
20,4,14,1.0
20,4,15,1.0
20,4,16,1.0
20,4,17,1.0
20,4,18,1.0
20,4,19,1.0
20,4,20,1.0
20,4,21,1.0
20,4,22,1.0
20,4,23,1.0
20,4,24,1.0
20,4,25,1.0
20,5,6,1.0
20,5,7,1.0
20,5,8,1.0
20,5,9,1.0
20,5,10,1.0
20,5,11,1.0
20,5,12,1.0
20,5,13,1.0
20,5,14,1.0
20,5,15,1.0
20,5,16,1.0
20,5,17,1.0
20,5,18,1.0
20,5,19,1.0
20,5,20,1.0
20,5,21,1.0
20,5,22,1.0
20,5,23,1.0
20,5,24,1.0
20,5,25,1.0
20,6,7,1.0
20,6,8,1.0
20,6,9,1.0
20,6,10,1.0
20,6,11,1.0
20,6,12,1.0
20,6,13,1.0
20,6,14,1.0
20,6,15,1.0
20,6,16,1.0
20,6,17,1.0
20,6,18,1.0
20,6,19,1.0
20,6,20,1.0
20,6,21,1.0
20,6,22,1.0
20,6,23,1.0
20,6,24,1.0
20,6,25,1.0
20,7,8,1.0
20,7,9,1.0
20,7,10,1.0
20,7,11,1.0
20,7,12,1.0
20,7,13,1.0
20,7,14,1.0
20,7,15,1.0
20,7,16,1.0
20,7,17,1.0
20,7,18,1.0
20,7,19,1.0
20,7,20,1.0
20,7,21,1.0
20,7,22,1.0
20,7,23,1.0
20,7,24,1.0
20,7,25,1.0
20,8,9,1.0
20,8,10,1.0
20,8,11,1.0
20,8,12,1.0
20,8,13,1.0
20,8,14,1.0
20,8,15,1.0
20,8,16,1.0
20,8,17,1.0
20,8,18,1.0
20,8,19,1.0
20,8,20,1.0
20,8,21,1.0
20,8,22,1.0
20,8,23,1.0
20,8,24,1.0
20,8,25,1.0
20,9,10,1.0
20,9,11,1.0
20,9,12,1.0
20,9,13,1.0
20,9,14,1.0
20,9,15,1.0
20,9,16,1.0
20,9,17,1.0
20,9,18,1.0
20,9,19,1.0
20,9,20,1.0
20,9,21,1.0
20,9,22,1.0
20,9,23,1.0
20,9,24,1.0
20,9,25,1.0
20,10,11,1.0
20,10,12,1.0
20,10,13,1.0
20,10,14,1.0
20,10,15,1.0
20,10,16,1.0
20,10,17,1.0
20,10,18,1.0
20,10,19,1.0
20,10,20,1.0
20,10,21,1.0
20,10,22,1.0
20,10,23,1.0
20,10,24,1.0
20,10,25,1.0
20,11,12,1.0
20,11,13,1.0
20,11,14,1.0
20,11,15,1.0
20,11,16,1.0
20,11,17,1.0
20,11,18,1.0
20,11,19,1.0
20,11,20,1.0
20,11,21,1.0
20,11,22,1.0
20,11,23,1.0
20,11,24,1.0
20,11,25,1.0
20,12,13,1.0
20,12,14,1.0
20,12,15,1.0
20,12,16,1.0
20,12,17,1.0
20,12,18,1.0
20,12,19,1.0
20,12,20,1.0
20,12,21,1.0
20,12,22,1.0
20,12,23,1.0
20,12,24,1.0
20,12,25,1.0
20,13,14,1.0
20,13,15,1.0
20,13,16,1.0
20,13,17,1.0
20,13,18,1.0
20,13,19,1.0
20,13,20,1.0
20,13,21,1.0
20,13,22,1.0
20,13,23,1.0
20,13,24,1.0
20,13,25,1.0
20,14,15,1.0
20,14,16,1.0
20,14,17,1.0
20,14,18,1.0
20,14,19,1.0
20,14,20,1.0
20,14,21,1.0
20,14,22,1.0
20,14,23,1.0
20,14,24,1.0
20,14,25,1.0
20,15,16,1.0
20,15,17,1.0
20,15,18,1.0
20,15,19,1.0
20,15,20,1.0
20,15,21,1.0
20,15,22,1.0
20,15,23,1.0
20,15,24,1.0
20,15,25,1.0
20,16,17,1.0
20,16,18,1.0
20,16,19,1.0
20,16,20,1.0
20,16,21,1.0
20,16,22,1.0
20,16,23,1.0
20,16,24,1.0
20,16,25,1.0
20,17,18,1.0
20,17,19,1.0
20,17,20,1.0
20,17,21,1.0
20,17,22,1.0
20,17,23,1.0
20,17,24,1.0
20,17,25,1.0
20,18,19,1.0
20,18,20,1.0
20,18,21,1.0
20,18,22,1.0
20,18,23,1.0
20,18,24,1.0
20,18,25,1.0
20,19,20,1.0
20,19,21,1.0
20,19,22,1.0
20,19,23,1.0
20,19,24,1.0
20,19,25,1.0
20,20,21,1.0
20,20,22,1.0
20,20,23,1.0
20,20,24,1.0
20,20,25,1.0
20,21,22,1.0
20,21,23,1.0
20,21,24,1.0
20,21,25,1.0
20,22,23,1.0
20,22,24,1.0
20,22,25,1.0
20,23,24,1.0
20,23,25,1.0
20,24,25,1.0
